num_agents,graph,difficulty,successful_convergence,unsuccessful_convergence,time_to_convergence
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,126
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,43
10,complete,0.001,1,0,67
10,complete,0.001,1,0,67
10,complete,0.001,1,0,67
10,complete,0.001,1,0,67
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,94
10,complete-1,0.001,1,0,286
10,complete-1,0.001,1,0,286
10,complete-1,0.001,1,0,286
10,complete-1,0.001,1,0,286
10,complete-1,0.001,1,0,464
10,complete-1,0.001,1,0,464
10,complete-1,0.001,1,0,464
10,complete-1,0.001,1,0,464
10,complete-1,0.001,1,0,464
10,complete-1,0.001,1,0,464
10,complete-1,0.001,1,0,464
10,complete-1,0.001,1,0,464
10,complete-1,0.001,1,0,464
10,complete-1,0.001,1,0,464
10,complete-1,0.001,1,0,464
10,complete-1,0.001,1,0,464
10,complete-1,0.001,1,0,464
10,complete-1,0.001,1,0,464
10,complete-1,0.001,1,0,464
10,complete-1,0.001,1,0,464
10,complete-1,0.001,1,0,464
10,complete-1,0.001,1,0,464
10,complete-1,0.001,1,0,464
10,complete-1,0.001,1,0,464
10,complete-1,0.001,1,0,464
10,complete-1,0.001,1,0,464
10,complete-1,0.001,1,0,464
10,complete-1,0.001,1,0,464
10,complete-1,0.001,1,0,464
10,complete-1,0.001,1,0,464
10,complete-1,0.001,1,0,464
10,complete-1,0.001,1,0,464
10,complete-1,0.001,1,0,464
10,complete-1,0.001,1,0,464
10,complete-1,0.001,1,0,464
10,complete-1,0.001,1,0,464
10,complete-1,0.001,1,0,464
10,complete-1,0.001,1,0,464
10,complete-1,0.001,1,0,464
10,complete-1,0.001,1,0,464
10,complete-1,0.001,1,0,464
10,complete-1,0.001,1,0,464
10,complete-1,0.001,1,0,464
10,complete-1,0.001,1,0,464
10,complete-1,0.001,1,0,464
10,complete-1,0.001,1,0,464
10,complete-1,0.001,1,0,464
10,complete-1,0.001,1,0,464
10,complete-1,0.001,0,1,26
10,complete-1,0.001,0,1,26
10,complete-1,0.001,0,1,26
10,complete-1,0.001,0,1,26
10,complete-1,0.001,0,1,54
10,complete-1,0.001,0,1,54
10,complete-1,0.001,0,1,54
10,complete-1,0.001,0,1,54
10,complete-2,0.001,1,0,162
10,complete-2,0.001,1,0,162
10,complete-2,0.001,1,0,162
10,complete-2,0.001,1,0,162
10,complete-2,0.001,1,0,94
10,complete-2,0.001,1,0,94
10,complete-2,0.001,1,0,94
10,complete-2,0.001,1,0,94
10,complete-2,0.001,1,0,94
10,complete-2,0.001,1,0,94
10,complete-2,0.001,1,0,94
10,complete-2,0.001,1,0,94
10,complete-2,0.001,1,0,94
10,complete-2,0.001,1,0,94
10,complete-2,0.001,1,0,94
10,complete-2,0.001,1,0,94
10,complete-2,0.001,1,0,94
10,complete-2,0.001,1,0,94
10,complete-2,0.001,1,0,94
10,complete-2,0.001,1,0,94
10,complete-2,0.001,1,0,94
10,complete-2,0.001,1,0,94
10,complete-2,0.001,1,0,94
10,complete-2,0.001,1,0,94
10,complete-2,0.001,1,0,94
10,complete-2,0.001,1,0,94
10,complete-2,0.001,1,0,94
10,complete-2,0.001,1,0,94
10,complete-2,0.001,1,0,94
10,complete-2,0.001,1,0,94
10,complete-2,0.001,1,0,94
10,complete-2,0.001,1,0,94
10,complete-2,0.001,1,0,94
10,complete-2,0.001,1,0,94
10,complete-2,0.001,1,0,94
10,complete-2,0.001,1,0,94
10,complete-2,0.001,1,0,94
10,complete-2,0.001,1,0,94
10,complete-2,0.001,1,0,94
10,complete-2,0.001,1,0,94
10,complete-2,0.001,1,0,94
10,complete-2,0.001,1,0,94
10,complete-2,0.001,1,0,94
10,complete-2,0.001,1,0,94
10,complete-2,0.001,1,0,94
10,complete-2,0.001,1,0,94
10,complete-2,0.001,1,0,94
10,complete-2,0.001,1,0,94
10,complete-2,0.001,1,0,118
10,complete-2,0.001,1,0,118
10,complete-2,0.001,1,0,118
10,complete-2,0.001,1,0,118
10,complete-2,0.001,1,0,118
10,complete-2,0.001,1,0,118
10,complete-2,0.001,1,0,118
10,complete-2,0.001,1,0,118
10,complete-2,0.001,1,0,118
10,complete-2,0.001,1,0,118
10,complete-2,0.001,1,0,118
10,complete-2,0.001,1,0,118
10,complete-2,0.001,1,0,118
10,complete-2,0.001,1,0,118
10,complete-2,0.001,1,0,118
10,complete-2,0.001,1,0,118
10,complete-2,0.001,1,0,118
10,complete-2,0.001,1,0,118
10,complete-2,0.001,1,0,118
10,complete-2,0.001,1,0,118
10,complete-2,0.001,1,0,118
10,complete-2,0.001,1,0,118
10,complete-2,0.001,1,0,118
10,complete-2,0.001,1,0,118
10,complete-2,0.001,1,0,118
10,complete-2,0.001,1,0,118
10,complete-2,0.001,1,0,118
10,complete-2,0.001,1,0,118
10,complete-2,0.001,1,0,118
10,complete-2,0.001,1,0,118
10,complete-2,0.001,1,0,118
10,complete-2,0.001,1,0,118
10,complete-2,0.001,1,0,118
10,complete-2,0.001,1,0,118
10,complete-2,0.001,1,0,118
10,complete-2,0.001,1,0,118
10,complete-2,0.001,1,0,118
10,complete-2,0.001,1,0,118
10,complete-2,0.001,1,0,118
10,complete-2,0.001,1,0,118
10,complete-2,0.001,1,0,118
10,complete-2,0.001,1,0,118
10,complete-2,0.001,1,0,118
10,complete-2,0.001,1,0,118
10,complete-2,0.001,1,0,95
10,complete-2,0.001,1,0,95
10,complete-2,0.001,1,0,95
10,complete-2,0.001,1,0,95
10,complete-2,0.001,1,0,524
10,complete-2,0.001,1,0,524
10,complete-2,0.001,1,0,524
10,complete-2,0.001,1,0,524
10,complete-3,0.001,1,0,228
10,complete-3,0.001,1,0,228
10,complete-3,0.001,1,0,228
10,complete-3,0.001,1,0,228
10,complete-3,0.001,1,0,228
10,complete-3,0.001,1,0,228
10,complete-3,0.001,1,0,228
10,complete-3,0.001,1,0,228
10,complete-3,0.001,1,0,228
10,complete-3,0.001,1,0,228
10,complete-3,0.001,1,0,228
10,complete-3,0.001,1,0,228
10,complete-3,0.001,1,0,228
10,complete-3,0.001,1,0,228
10,complete-3,0.001,1,0,228
10,complete-3,0.001,1,0,228
10,complete-3,0.001,1,0,228
10,complete-3,0.001,1,0,228
10,complete-3,0.001,1,0,228
10,complete-3,0.001,1,0,228
10,complete-3,0.001,1,0,228
10,complete-3,0.001,1,0,228
10,complete-3,0.001,1,0,228
10,complete-3,0.001,1,0,228
10,complete-3,0.001,1,0,228
10,complete-3,0.001,1,0,228
10,complete-3,0.001,1,0,228
10,complete-3,0.001,1,0,228
10,complete-3,0.001,1,0,228
10,complete-3,0.001,1,0,228
10,complete-3,0.001,1,0,228
10,complete-3,0.001,1,0,228
10,complete-3,0.001,1,0,228
10,complete-3,0.001,1,0,228
10,complete-3,0.001,1,0,228
10,complete-3,0.001,1,0,228
10,complete-3,0.001,1,0,228
10,complete-3,0.001,1,0,228
10,complete-3,0.001,1,0,228
10,complete-3,0.001,1,0,228
10,complete-3,0.001,1,0,127
10,complete-3,0.001,1,0,127
10,complete-3,0.001,1,0,127
10,complete-3,0.001,1,0,127
10,complete-3,0.001,1,0,185
10,complete-3,0.001,1,0,185
10,complete-3,0.001,1,0,185
10,complete-3,0.001,1,0,185
10,complete-3,0.001,1,0,495
10,complete-3,0.001,1,0,495
10,complete-3,0.001,1,0,495
10,complete-3,0.001,1,0,495
10,complete-3,0.001,1,0,795
10,complete-3,0.001,1,0,652
10,complete-3,0.001,1,0,795
10,complete-3,0.001,1,0,652
10,complete-3,0.001,1,0,652
10,complete-3,0.001,1,0,795
10,complete-3,0.001,1,0,795
10,complete-3,0.001,1,0,652
10,complete-3,0.001,1,0,652
10,complete-3,0.001,1,0,652
10,complete-3,0.001,1,0,652
10,complete-3,0.001,1,0,652
10,complete-3,0.001,1,0,652
10,complete-3,0.001,1,0,652
10,complete-3,0.001,1,0,652
10,complete-3,0.001,1,0,652
10,complete-3,0.001,1,0,652
10,complete-3,0.001,1,0,652
10,complete-3,0.001,1,0,652
10,complete-3,0.001,1,0,652
10,complete-3,0.001,1,0,652
10,complete-3,0.001,1,0,652
10,complete-3,0.001,1,0,652
10,complete-3,0.001,1,0,652
10,complete-3,0.001,1,0,652
10,complete-3,0.001,1,0,652
10,complete-3,0.001,1,0,652
10,complete-3,0.001,1,0,652
10,complete-3,0.001,1,0,652
10,complete-3,0.001,1,0,652
10,complete-3,0.001,1,0,652
10,complete-3,0.001,1,0,652
10,complete-3,0.001,1,0,652
10,complete-3,0.001,1,0,652
10,complete-3,0.001,1,0,652
10,complete-3,0.001,1,0,652
10,complete-3,0.001,1,0,652
10,complete-3,0.001,1,0,652
10,complete-3,0.001,1,0,652
10,complete-3,0.001,1,0,652
10,complete-3,0.001,1,0,652
10,complete-3,0.001,1,0,652
10,complete-3,0.001,1,0,652
10,complete-3,0.001,1,0,652
10,complete-3,0.001,1,0,317
10,complete-3,0.001,1,0,317
10,complete-3,0.001,1,0,317
10,complete-3,0.001,1,0,317
10,complete-4,0.001,0,0,0
10,complete-4,0.001,0,0,0
10,complete-4,0.001,0,0,0
10,complete-4,0.001,0,0,0
10,complete-4,0.001,0,0,0
10,complete-4,0.001,0,0,0
10,complete-4,0.001,0,0,0
10,complete-4,0.001,0,0,0
10,complete-4,0.001,0,0,0
10,complete-4,0.001,0,0,0
10,complete-4,0.001,0,0,0
10,complete-4,0.001,0,0,0
10,complete-4,0.001,0,0,0
10,complete-4,0.001,0,0,0
10,complete-4,0.001,0,0,0
10,complete-4,0.001,0,0,0
10,complete-4,0.001,0,0,0
10,complete-4,0.001,0,0,0
10,complete-4,0.001,0,0,0
10,complete-4,0.001,0,0,0
10,complete-4,0.001,0,0,0
10,complete-4,0.001,0,0,0
10,complete-4,0.001,0,0,0
10,complete-4,0.001,0,0,0
10,complete-4,0.001,0,0,0
10,complete-4,0.001,0,0,0
10,complete-4,0.001,0,0,0
10,complete-4,0.001,0,0,0
10,complete-4,0.001,0,0,0
10,complete-4,0.001,0,0,0
10,complete-4,0.001,0,0,0
10,complete-4,0.001,0,0,0
10,complete-4,0.001,0,0,0
10,complete-4,0.001,0,0,0
10,complete-4,0.001,0,0,0
10,complete-4,0.001,0,0,0
10,complete-4,0.001,0,0,0
10,complete-4,0.001,0,0,0
10,complete-4,0.001,0,0,0
10,complete-4,0.001,0,0,0
10,complete-4,0.001,0,0,0
10,complete-4,0.001,0,0,0
